Marca temporal,"Do you have any musical training (musician, producer, recorder...)? ","If so, which instrument do you play/are you familiar with or what kind of training do you have?",How would you rate your skill on your primary instrument? ,How many years of formal music training have you had?,What is the highest level of music theory you have studied?,Do you still practice music nowadays?,"If so, how often do you practice music?",(+)9 200 og,(+)11 200 og,(-)7 200 og,(+)14 200 og,(-)13 200 og,(-)8 200 og,(-)5 200 og,(+)6 200 og,(+)10 200 og,(-)15 200 og,(+)12 200 og,(+)30 200 og,(+)6 200 vib,(-)13 200 vib,(+)12 200 vib,(+)30 200 vib,(+)10 200 vib,(-)15 200 vib,(+)9 200 vib,(-)7 200 vib,(-)8 200 vib ,(+)11 200 vib,(-)5 200 vib,(+)14 200 vib,(-)5 400 og ,(+)14 400 og,(+)6 400 og,(+)12 400 og,(-)8 400 og,(-)13 400 og,(+)9 400 og,(+)11 400 og,(+)30 400 og,(-)15 400 og,(+)10 400 og,(-)7 400 og,(-)7 400 vib,(+)11 400 vib,(-)15 400 vib,(-)8 400 vib,(+)6 400 vib,(-)13 400 vib,(-)5 400 vib,(+)9 400 vib,(+)10 400 vib,(+)12 400 vib,(+)30 400 vib,(+)14 400 vib,(+)9 1200 og,(-)15 1200 og,(+)14 1200 og,(+)10 1200 og,(+)12 1200 og,(+)6 1200 og,(-)5 1200 og,(+)30 1200 og,(+)11 1200 og,(-)8 1200 og,(-)7 1200 og,(-)13 1200 og,(-)13 1200 vib,(+)14 1200 vib,(+)12 1200 vib,(+)9 1200 vib,(-)15 1200 vib,(-)5 1200 vib,(-)7 1200 vib,(+)30 1200 vib,(+)11 1200 vib,(+)10 1200 vib,(+)6 1200 vib,(-)8 1200 vib
21/01/2026 10:56:18,Yes,clarinet,Beginner,4-6 years,"Basic (e.g., notes, rhythms)",Yes,Rarely,Equal,Equal,Descending,Acending,Equal,Descending,Equal,Descending,Acending,Descending,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Descending,Equal,Equal,Descending,Acending,Acending,Acending,Equal,Acending,Equal,Acending,Descending,Descending,Equal,Acending,Acending,Descending,Acending,Descending,Equal,Acending,Descending,Descending,Equal,Descending,Descending,Equal,Acending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Equal,Descending,Acending,Acending,Equal,Descending,Descending,Equal,Acending,Acending,Acending,Descending,Equal,Descending,Acending,Acending,Acending,Acending,Equal
21/01/2026 11:28:43,No,,I don't play any instrument,0 years,"Basic (e.g., notes, rhythms)",No,I don't practice music,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Descending,Equal,Acending,Equal,Descending,Acending,Acending,Equal,Descending,Equal,Descending,Equal,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Acending,Descending,Acending,Equal,Acending,Descending,Equal,Equal,Equal,Acending,Equal,Descending,Equal,Acending,Equal,Descending,Equal,Equal,Acending,Acending,Acending,Acending,Descending,Descending,Acending,Equal,Acending,Acending,Equal,Equal,Acending,Equal,Equal,Equal,Equal,Equal,Descending,Descending,Equal,Acending,Acending,Equal,Equal,Equal
21/01/2026 13:08:31,No,,I don't play any instrument,0 years,"Basic (e.g., notes, rhythms)",No,I don't practice music,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Acending,Descending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Descending,Equal,Acending,Equal,Descending,Descending,Acending,Acending,Descending,Acending,Descending,Descending,Descending,Descending,Descending,Acending,Descending,Acending,Acending,Descending,Descending,Equal,Descending,Descending,Descending,Descending,Acending,Acending,Descending,Acending,Acending,Equal,Descending,Descending,Descending,Equal,Equal,Descending,Acending,Acending,Equal,Descending,Descending,Equal,Equal,Acending,Acending,Descending,Descending,Descending,Acending,Equal,Acending,Descending,Descending
21/01/2026 13:08:31,Not sure,piano,Beginner,0 years,"Basic (e.g., notes, rhythms)",No,I don't practice music,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Descending,Acending,Acending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Descending,Descending,Descending,Acending,Acending,Descending,Acending,Descending,Descending,Descending,Descending,Descending,Acending,Descending,Acending,Acending,Descending,Descending,Descending,Descending,Equal,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Equal,Descending,Descending,Descending,Descending,Descending,Descending,Acending,Acending,Equal,Descending,Descending,Acending,Equal,Acending,Acending,Descending,Descending,Descending,Acending,Equal,Acending,Descending,Descending
21/01/2026 14:56:12,Yes,piano,Intermediate,4-6 years,"Intermediate (e.g., key signatures, harmony)",Yes,A few times a week,Equal,Acending,Equal,Acending,Descending,Acending,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Descending,Acending,Acending,Descending,Descending,Descending,Descending,Descending,Equal,Equal,Acending,Acending,Acending,Acending,Acending,Descending,Descending,Acending,Acending,Acending,Descending,Acending,Descending,Equal,Acending,Descending,Equal,Acending,Descending,Equal,Acending,Acending,Acending,Acending,Acending,Equal,Descending,Acending,Acending,Acending,Acending,Equal,Acending,Acending,Equal,Equal,Equal,Equal,Acending,Acending,Acending,Equal,Equal,Equal,Acending,Acending,Equal,Acending,Descending
21/01/2026 16:46:06,Yes,gralla seca/ gralla dolça,Expert,10+ years,"Intermediate (e.g., key signatures, harmony)",Yes,A few times a month,Equal,Acending,Descending,Acending,Descending,Equal,Descending,Equal,Descending,Descending,Acending,Descending,Equal,Descending,Acending,Acending,Acending,Descending,Descending,Descending,Descending,Equal,Descending,Descending,Equal,Acending,Acending,Acending,Equal,Descending,Acending,Descending,Acending,Equal,Descending,Descending,Equal,Equal,Equal,Descending,Descending,Descending,Equal,Descending,Descending,Acending,Acending,Acending,Equal,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Descending,Descending,Acending,Equal,Equal,Acending,Acending,Descending,Equal,Equal,Acending,Descending,Equal,Equal,Descending
21/01/2026 17:50:06,No,,I don't play any instrument,0 years,None,No,I don't practice music,Acending,Equal,Equal,Acending,Equal,Acending,Acending,Equal,Acending,Descending,Descending,Acending,Descending,Acending,Acending,Acending,Acending,Equal,Equal,Equal,Descending,Acending,Acending,Acending,Acending,Descending,Acending,Descending,Equal,Acending,Acending,Equal,Descending,Acending,Descending,Equal,Equal,Descending,Equal,Equal,Acending,Descending,Descending,Equal,Equal,Equal,Descending,Acending,Descending,Equal,Equal,Acending,Acending,Equal,Equal,Acending,Acending,Equal,Equal,Equal,Acending,Descending,Descending,Equal,Acending,Acending,Acending,Acending,Descending,Equal,Equal,Equal
21/01/2026 18:53:04,No,,I don't play any instrument,0 years,None,No,I don't practice music,Acending,Equal,Equal,Acending,Descending,Equal,Acending,Acending,Acending,Descending,Acending,Acending,Acending,Descending,Acending,Acending,Equal,Descending,Equal,Equal,Descending,Acending,Equal,Acending,Acending,Acending,Equal,Acending,Equal,Equal,Acending,Acending,Acending,Descending,Acending,Equal,Equal,Acending,Descending,Equal,Acending,Descending,Equal,Acending,Acending,Acending,Acending,Acending,Equal,Acending,Acending,Acending,Acending,Acending,Acending,Descending,Equal,Descending,Equal,Descending,Equal,Acending,Equal,Acending,Descending,Equal,Descending,Acending,Acending,Acending,Equal,Descending
21/01/2026 20:07:42,Yes,flute,Intermediate,1-3 years,"Basic (e.g., notes, rhythms)",Yes,Rarely,Acending,Acending,Equal,Descending,Equal,Acending,Descending,Acending,Equal,Descending,Descending,Acending,Acending,Equal,Acending,Descending,Acending,Equal,Descending,Descending,Descending,Equal,Acending,Equal,Acending,Descending,Descending,Equal,Acending,Equal,Equal,Acending,Descending,Equal,Acending,Descending,Descending,Acending,Descending,Acending,Equal,Descending,Equal,Acending,Equal,Acending,Descending,Acending,Descending,Acending,Descending,Descending,Equal,Descending,Acending,Descending,Equal,Equal,Equal,Acending,Equal,Descending,Descending,Equal,Descending,Acending,Equal,Descending,Acending,Equal,Descending,Descending
21/01/2026 22:10:36,No,,I don't play any instrument,0 years,None,No,I don't practice music,Equal,Descending,Descending,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Equal,Equal,Acending,Descending,Descending,Descending,Descending,Descending,Descending,Descending,Descending,Descending,Descending,Descending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Equal,Descending,Acending,Descending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending,Acending
